body_name,category,side,mirror_of,components,mass_kg,inertia_reference_mass_kg,com_x_m,com_y_m,com_z_m,inertia_quat_w,inertia_quat_x,inertia_quat_y,inertia_quat_z,principal_i1_kg_m2,principal_i2_kg_m2,principal_i3_kg_m2,property_mode,mass_source,com_source,inertia_source,confidence,status,notes
base_link,base_link,center,,central chassis; 4 joint motors; 4 motor-side timing pulleys; fixed electronics and hardware represented by current CAD mass,2.2,2.2,-0.0039338812,0.012467564,0.00023441092,0.99999671,0.0018797749,0.0011074883,-0.0013498581,0.0091017116,0.012533239,0.0081879634,uniform_mass_scale,SolidWorks-assigned mass from existing export; user reports approximate physical agreement,existing exact-mesh geometry calculation; not independently verified,existing exact-mesh geometry calculation at inertia_reference_mass_kg,B,BASELINE,Missing moving fasteners/bearings are not claimed as zero and may be lumped here later.
link_002,left_links,left,,left active link A assembly; omitted fasteners and moving bearings pending,0.068,0.068,0.043355873,-0.027890749,-0.0023513789,0.96005319,0.0057525521,-0.0053518464,-0.27970722,1.1089343e-05,0.000105919,0.00011583082,uniform_mass_scale,SolidWorks-assigned mass from existing export; user reports approximate physical agreement,existing exact-mesh geometry calculation; not independently verified,existing exact-mesh geometry calculation at inertia_reference_mass_kg,B,BASELINE,Missing moving fasteners/bearings are not claimed as zero and may be lumped here later.
link_005,left_links,left,,left passive link assembly; omitted fasteners and bearings pending,0.02,0.02,-0.0086987915,-0.0056228993,-0.0059453537,0.94761075,0.0023155369,0.014721452,-0.31907958,1.37131295e-05,1.1046793e-06,1.4542671e-05,uniform_mass_scale,SolidWorks-assigned mass from existing export; user reports approximate physical agreement,existing exact-mesh geometry calculation; not independently verified,existing exact-mesh geometry calculation at inertia_reference_mass_kg,B,BASELINE,Missing moving fasteners/bearings are not claimed as zero and may be lumped here later.
link_006,left_links,left,,left lightweight closure axle/end body,0.000773664835,0.000773664835,0,0,-0.0030241159,1,0,0,0,2.7147115e-08,2.7147115e-08,1e-08,uniform_mass_scale,exact mesh geometry estimate,existing exact-mesh geometry calculation; not independently verified,existing exact-mesh geometry calculation at inertia_reference_mass_kg,C,ESTIMATED,Retained as a small positive physical estimate; no separate weighing required.
link_007,left_links,left,,left passive link; omitted fasteners and bearings pending,0.006,0.006,0.025983961,-0.0150738,-0.0015000061,0.95865809,0,0,-0.28456049,8.4666046e-08,2.8064641e-06,2.8821301e-06,uniform_mass_scale,SolidWorks-assigned mass from existing export; user reports approximate physical agreement,existing exact-mesh geometry calculation; not independently verified,existing exact-mesh geometry calculation at inertia_reference_mass_kg,B,BASELINE,Missing moving fasteners/bearings are not claimed as zero and may be lumped here later.
link_008,left_links,left,,left lightweight closure axle/end body,0.000773664845,0.000773664845,-1.6348715e-10,0,-0.012524115,1,0,0,0,2.7147115e-08,2.7147117e-08,1e-08,uniform_mass_scale,exact mesh geometry estimate,existing exact-mesh geometry calculation; not independently verified,existing exact-mesh geometry calculation at inertia_reference_mass_kg,C,ESTIMATED,Retained as a small positive physical estimate; no separate weighing required.
link_009,left_links,left,,left lower link and wheel carrier; omitted fasteners and bearings pending,0.056,0.056,-0.044881355,-0.044738748,-0.0065144472,0.93100646,8.9174307e-05,0.00055309838,-0.36500228,0.00017003599,5.9620694e-06,0.00017553873,uniform_mass_scale,SolidWorks-assigned mass from existing export; user reports approximate physical agreement,existing exact-mesh geometry calculation; not independently verified,existing exact-mesh geometry calculation at inertia_reference_mass_kg,B,BASELINE,Missing moving fasteners/bearings are not claimed as zero and may be lumped here later.
link_010,left_wheel,left,,left wheel; hub motor; tire assembly represented by current CAD mass,0.6,0.6,-5.6331932e-10,5.1670869e-10,0.02192814,0.92610537,6.6177875e-09,5.0505982e-09,-0.37726496,0.00031780174,0.000317777655,0.000484610865,uniform_mass_scale,SolidWorks-assigned mass from existing export; user reports approximate physical agreement,existing exact-mesh geometry calculation; not independently verified,existing exact-mesh geometry calculation at inertia_reference_mass_kg,B,BASELINE,Missing moving fasteners/bearings are not claimed as zero and may be lumped here later.
link_011,left_gas_spring,left,,left gas-spring sub-body 1; physical subdivision and mass unverified,0.0015472861,0.0015472861,0.009774161,-0.012096566,0.0058500007,0.94282022,0,0,0.33330173,2.4763345e-07,1.47072335e-08,2.57431515e-07,uniform_mass_scale,geometry-derived placeholder; user reports no gas-spring mass was supplied,existing exact-mesh geometry calculation; not independently verified,existing exact-mesh geometry calculation at inertia_reference_mass_kg,D,PROVISIONAL,Do not treat current gas-spring mass as physical evidence.
link_012,left_gas_spring,left,,left gas-spring sub-body 2 with slide; physical subdivision and mass unverified,0.011455285,0.011455285,0,-2.1792665e-09,0.027778315,1,-1.2953341e-08,0,0,3.25386905e-06,3.2636644e-06,3.1061596e-07,uniform_mass_scale,geometry-derived placeholder; user reports no gas-spring mass was supplied,existing exact-mesh geometry calculation; not independently verified,existing exact-mesh geometry calculation at inertia_reference_mass_kg,D,PROVISIONAL,Do not treat current gas-spring mass as physical evidence.
