side,q_a_command_rad,q_b_command_rad,wheel_hx_m,wheel_hz_m,other_wheel_hx_m,other_wheel_hz_m,gas_slide_q_m,max_abs_qvel,max_abs_equality_residual_m,q_link_005_joint_rad,q_link_006_joint_rad,q_link_007_joint_rad,q_link_008_joint_rad,q_link_009_joint_rad,q_link_011_joint_rad,q_link_013_joint_rad,q_link_004_joint_rad,q_link_017_joint_rad,q_link_019_joint_rad,q_link_021_joint_rad,q_link_020_joint_rad,q_link_022_joint_rad,q_link_024_joint_rad,q_link_016_joint_rad,q_link_018_joint_rad
left,-0.277,-0.285,0.000372301344983932,-0.0930727828898117,1.72028744174643e-09,-0.134300206915378,-0.02117357644575,1.19762019932973e-06,1.19238058315929e-09,-0.605428630975238,-7.40027838486895e-14,0.605428641430617,-2.1173874071757e-13,-0.605428647111721,-0.0358274444079535,-5.09644519907815e-10,0.605428631011852,,,,,,,,
left,-0.277,-0.25655,-0.000971333053095536,-0.0949934193650744,1.72028744174643e-09,-0.134300206915378,-0.020736626048275,1.22933051686759e-06,1.19238058315929e-09,-0.587671043434959,-7.26105950464144e-14,0.587671054073911,-2.18936129673317e-13,-0.58767105945883,-0.0362377690607019,-5.17899445195876e-10,0.587671043474445,,,,,,,,
left,-0.277,-0.22809999999999997,-0.00237012378958407,-0.0969186212371015,1.72028744174643e-09,-0.134300206915378,-0.0202925073203324,1.26162924721102e-06,1.19238058315929e-09,-0.569642694475303,-7.10985030195249e-14,0.569642705298181,-2.26305001849764e-13,-0.569642710391129,-0.0365463503338892,-5.24339563698883e-10,0.569642694517807,,,,,,,,
left,-0.277,-0.19965,-0.00382477076501074,-0.0988460947813651,1.72028744174643e-09,-0.134300206915378,-0.0198414779312057,1.29442307896374e-06,1.19238058315929e-09,-0.551348665856631,-6.94631768493508e-14,0.551348676863786,-2.33814603522489e-13,-0.551348681669098,-0.0367500528963607,-5.2892945688465e-10,0.551348665902301,,,,,,,,
left,-0.277,-0.1712,-0.00533588639293453,-0.100773488959054,1.72028744174643e-09,-0.134300206915378,-0.0193838120114605,1.32760939104242e-06,1.19238058315929e-09,-0.532794257291247,-6.77055794797012e-14,0.532794268483038,-2.41484471253553e-13,-0.532794273005164,-0.0368459492293243,-5.31638326628179e-10,0.532794257340234,,,,,,,,
left,-0.277,-0.14275,-0.00690399287358148,-0.102698402451728,1.72028744174643e-09,-0.134300206915378,-0.0189197991296717,1.36107642498878e-06,1.19238058315929e-09,-0.513984957136398,-6.58223540264815e-14,0.513984968513196,-2.49249601411538e-13,-0.513984972756692,-0.0368313283228791,-5.32440027777055e-10,0.513984957188856,,,,,,,,
left,-0.277,-0.11429999999999998,-0.00852951990268149,-0.104618390732281,1.72028744174643e-09,-0.134300206915378,-0.0184497432207397,1.3947034813573e-06,1.19238058315929e-09,-0.494926413552628,-6.3812312455957e-14,0.494926425114824,-2.57124804380889e-13,-0.494926429084347,-0.0367037025063771,-5.31313064293739e-10,0.494926413608715,,,,,,,,
left,-0.277,-0.08584999999999998,-0.010212802808764,-0.106530973114429,1.72028744174643e-09,-0.134300206915378,-0.0179739614787228,1.42836115543356e-06,1.19238058315929e-09,-0.475624406403262,-6.16714400004584e-14,0.475624418151269,-2.65051365625299e-13,-0.47562442185157,-0.0364608124393873,-5.28240547749988e-10,0.475624406463135,,,,,,,,
left,-0.277,-0.05740000000000001,-0.0119540811076467,-0.108433639728483,1.72028744174643e-09,-0.134300206915378,-0.0174927832265932,1.46191172019415e-06,1.19238058315929e-09,-0.456084820134816,-5.94062052090546e-14,0.456084832069078,-2.73026877184058e-13,-0.456084835504996,-0.0361006303168675,-5.23210119129928e-10,0.456084820198633,,,,,,,,
left,-0.277,-0.028949999999999976,-0.0137534974590145,-0.110323858377102,1.72028744174643e-09,-0.134300206915378,-0.017006548774622,1.49520945264013e-06,1.19238058315929e-09,-0.43631361784098,-5.70080702524758e-14,0.436313629961981,-2.81015357079042e-13,-0.436313633138437,-0.0356213613655185,-5.16213843731007e-10,0.4363136179089,,,,,,,,
left,-0.277,-0.0005000000000000004,-0.0156110970068432,-0.112199081230868,1.72028744174643e-09,-0.134300206915378,-0.0165156082782339,1.52810110321106e-06,1.19238058315929e-09,-0.416316816675511,-5.44861305174283e-14,0.416316828983776,-2.88987168293676e-13,-0.416316831905771,-0.0350214437279381,-5.07248072457343e-10,0.416316816747691,,,,,,,,
left,-0.277,0.027949999999999975,-0.0175268270829592,-0.114056751329672,1.72028744174643e-09,-0.134300206915378,-0.0160203206052036,1.56042633218228e-06,1.19238058315929e-09,-0.396100464742957,-5.18403632154911e-14,0.396100477239064,-2.96904674480466e-13,-0.396100479911673,-0.0342995468470028,-4.96313284512836e-10,0.396100464819552,,,,,,,,
left,-0.277,0.056400000000000006,-0.0195005372512227,-0.115894308861969,1.72028744174643e-09,-0.134300206915378,-0.015521052221013,1.59201821604926e-06,1.19238058315929e-09,-0.375670619561507,-4.90773219231434e-14,0.375670632246092,-3.0474889477935e-13,-0.37567063467446,-0.0334545684749138,-4.83413903609778e-10,0.375670619642669,,,,,,,,
left,-0.277,0.08484999999999998,-0.021531979668619,-0.11770919719967,1.72028744174643e-09,-0.134300206915378,-0.0150181761001014,1.62270377424912e-06,1.19238058315929e-09,-0.355033328159907,-4.62025261763135e-14,0.355033341033669,-3.12492240385264e-13,-0.355033343223013,-0.0324856304396908,-4.68558101313346e-10,0.355033328245781,,,,,,,,
left,-0.277,0.11330000000000001,-0.0236208097388918,-0.119498868671896,1.72028744174643e-09,-0.134300206915378,-0.0145120706696344,1.65230449650135e-06,1.19238058315929e-09,-0.334194608840967,-4.32197528314748e-14,0.334194621904681,-3.20060874071474e-13,-0.334194623860286,-0.0313920733068415,-4.51757583385353e-10,0.334194608931696,,,,,,,,
left,-0.277,0.14175000000000004,-0.0257665870341851,-0.121260790065743,1.72028744174643e-09,-0.134300206915378,-0.0140031187913397,1.68063690999384e-06,1.19238058315929e-09,-0.313160434617889,-4.01445287457843e-14,0.313160447872413,-3.27460996938956e-13,-0.313160449599627,-0.0301734500757764,-4.33027367014774e-10,0.313160434713608,,,,,,,,
left,-0.277,0.17019999999999996,-0.0279687764604091,-0.122992447846685,1.72028744174643e-09,-0.134300206915378,-0.0134917067859044,1.7075131115342e-06,1.19238058315929e-09,-0.291936718306674,-3.69761570980695e-14,0.291936731752953,-3.34642189717217e-13,-0.291936733257193,-0.028829519049632,-4.12385550242267e-10,0.291936718407507,,,,,,,,
left,-0.277,0.19864999999999994,-0.0302267496426427,-0.12469135309521,1.72028744174643e-09,-0.134300206915378,-0.012978223503444,1.73274134779471e-06,1.19238058315929e-09,-0.270529299238307,-3.37325183268285e-14,0.270529312877388,-3.41562074056893e-13,-0.270529314164137,-0.0273602360139244,-3.89853076753891e-10,0.270529299344371,,,,,,,,
left,-0.277,0.22710000000000002,-0.0325397865077609,-0.126355046159699,1.72028744174643e-09,-0.134300206915378,-0.012463059442629,1.75612656108835e-06,1.19238058315929e-09,-0.248943931538168,-3.04234951109548e-14,0.248943945371204,-3.48161656233218e-13,-0.248943946446016,-0.0257657458542391,-3.65453499129903e-10,0.248943931649565,,,,,,,,
