side,target_rotation_rad,target_shape_rad,q_a_command_rad,q_b_command_rad,actual_rotation_rad,actual_shape_rad,rotation_tracking_error_rad,shape_tracking_error_rad,wheel_hx_m,wheel_hz_m,wheel_radius_m,wheel_angle_rad,other_wheel_hx_m,other_wheel_hz_m,gas_slide_q_m,max_abs_nonwheel_qvel,max_abs_equality_residual_m,q_link_005_joint_rad,q_link_006_joint_rad,q_link_007_joint_rad,q_link_008_joint_rad,q_link_009_joint_rad,q_link_011_joint_rad,q_link_013_joint_rad,q_link_004_joint_rad,q_link_017_joint_rad,q_link_019_joint_rad,q_link_021_joint_rad,q_link_020_joint_rad,q_link_022_joint_rad,q_link_024_joint_rad,q_link_016_joint_rad,q_link_018_joint_rad
left,-3.141592653589793,-0.281,-3.4225926535897933,2.860592653589793,-3.141592653430855,-0.28099999917100504,1.8783633759511534e-08,8.289949837703148e-10,-1.74825881411256e-09,0.0930735147012371,0.09307351470123712,-3.1415926348061594,1.72028746950201e-09,-0.134300206915378,-0.0211735791125159,5.79404993969315e-09,1.19238058315929e-09,-0.605428739293963,-7.99228861549133e-17,0.605428749784663,2.17106588309877e-12,-0.605428755522699,-0.0358274415644871,4.69212262301992e-10,0.605428739292622,,,,,,,,
left,-2.8797932657906435,-0.281,-3.1607932657906437,2.5987932657906434,-2.87979326563885,-0.28099999918179996,1.996194809450458e-08,8.182000632572795e-10,-0.0240891999978349,0.0899021111271227,0.09307351471632092,-2.8797932458286954,1.72028746950201e-09,-0.134300206915378,-0.021173579112436,5.67000634018987e-09,1.19238058315929e-09,-0.605428739294401,3.8418943972275e-17,0.605428749785623,1.88748174906775e-12,-0.605428755519708,-0.0358274415647085,3.2165304300255e-10,0.605428739294252,,,,,,,,
left,-2.6179938779914944,-0.281,-2.8989938779914945,2.3369938779914943,-2.617993877850865,-0.2809999992259451,2.1064227251343937e-08,7.740549312629241e-10,-0.0465367590749001,0.0806040272162757,0.09307351475407712,-2.617993856927267,1.72028746950201e-09,-0.134300206915378,-0.0211735791136282,5.24191092984241e-09,1.19238058315929e-09,-0.605428739343589,1.07666088375056e-16,0.605428749834901,1.61854570976637e-12,-0.605428755568262,-0.0358274415634747,1.86550277754325e-10,0.605428739343735,,,,,,,,
left,-2.356194490192345,-0.281,-2.637194490192345,2.0751944901923447,-2.3561944900645653,-0.280999999272985,2.2009723821270196e-08,7.270150037541612e-10,-0.0658129149241625,0.0658129120271144,0.09307351481653495,-2.356194468182621,1.72028746950201e-09,-0.134300206915378,-0.0211735791149967,4.81986422357303e-09,1.19238058315929e-09,-0.605428739399386,1.27656782997015e-16,0.605428749890719,1.36574098910252e-12,-0.605428755623937,-0.03582744156203,6.35684415831381e-11,0.60542873939962,,,,,,,,
left,-2.0943951023931957,-0.281,-2.375395102393196,1.8133951023931956,-2.09439510227915,-0.28099999931651,2.2731963866817747e-08,6.834900423413615e-10,-0.0806040293808904,0.0465367556177751,0.09307351490012594,-2.094395079661232,1.72028746950201e-09,-0.134300206915378,-0.0211735791162928,4.45861704675628e-09,1.19238058315929e-09,-0.605428739452087,6.90290485405889e-17,0.605428749943424,1.12985199258487e-12,-0.605428755676651,-0.0358274415606547,-4.74534818250829e-11,0.605428739452342,,,,,,,,
left,-1.832595714594046,-0.281,-2.113595714594046,1.551595714594046,-1.832595714494425,-0.28099999935557507,2.3180414698842352e-08,6.444249578407835e-10,-0.0899021124393859,0.024089196192395,0.09307351499894952,-1.8325956914136312,1.72028746950201e-09,-0.134300206915378,-0.0211735791174736,4.16824397282888e-09,1.19238058315929e-09,-0.605428739500055,4.95041246287505e-17,0.605428749991396,9.13511632310321e-13,-0.605428755724664,-0.0358274415593989,-1.46574317090857e-10,0.605428739500305,,,,,,,,
left,-1.5707963267948966,-0.281,-1.8517963267948967,1.2897963267948964,-1.57079632671007,-0.28099999938868003,2.332340409694211e-08,6.113199946256032e-10,-0.0930735151061711,-2.17079119929228e-09,0.09307351510617112,-1.5707963034714925,1.72028746950201e-09,-0.134300206915378,-0.0211735791184793,3.93506372772169e-09,1.19238058315929e-09,-0.605428739540907,4.46018327229645e-17,0.605428750032251,7.17476081927048e-13,-0.605428755765556,-0.0358274415583283,-2.33883686295123e-10,0.605428739541146,,,,,,,,
left,-1.3089969389957472,-0.281,-1.5899969389957471,1.0279969389957473,-1.30899693892597,-0.2809999994154301,2.3150164674134995e-08,5.845699480033772e-10,-0.0899021115312825,-0.0240892004133355,0.09307351521424878,-1.3089969158455825,1.72028746950201e-09,-0.134300206915378,-0.0211735791192935,3.75222783817933e-09,1.19238058315929e-09,-0.605428739573977,4.8864729982609e-17,0.605428750065326,5.42707974959264e-13,-0.605428755798661,-0.0358274415574612,-3.09435266253605e-10,0.605428739574207,,,,,,,,
left,-1.0471975511965979,-0.281,-1.328197551196598,0.7661975511965978,-1.047197551142051,-0.28099999943575904,2.2671482247105242e-08,5.642409872663734e-10,-0.0806040276277585,-0.0465367594852048,0.09307351531558403,-1.0471975285251156,1.72028746950201e-09,-0.134300206915378,-0.0211735791199128,3.61554454802368e-09,1.19238058315929e-09,-0.605428739599128,5.72832577200162e-17,0.60542875009048,3.90451500769014e-13,-0.605428755823838,-0.0358274415568015,-3.73246317895098e-10,0.605428739599351,,,,,,,,
left,-0.7853981633974483,-0.281,-1.0663981633974484,0.5043981633974483,-0.785398163358292,-0.28099999944975806,2.1918943549081856e-08,5.502419631042699e-10,-0.0658129124478346,-0.0658129153329337,0.09307351540307394,-0.7853981414785047,1.72028746950201e-09,-0.134300206915378,-0.0211735791203389,3.52261797646635e-09,1.19238058315929e-09,-0.605428739616433,7.42970444412248e-17,0.605428750107787,2.61585084072096e-13,-0.605428755841163,-0.0358274415563472,-4.25306035143987e-10,0.60542873961665,,,,,,,,
